word,meaning,pos,example,example_zh,note,tags
address,處理、著手解決,v.,The committee will address the safety concerns at Monday's meeting.,委員會將在週一的會議上處理安全疑慮。,常見意思是「地址」，多益裡多半當動詞「處理、應付」。,熟詞偏義
book,預訂,v.,Please book a conference room for twelve people.,請預訂一間可容納十二人的會議室。,不是「書」，當動詞是「預訂」。,熟詞偏義
table,擱置、暫緩討論,v.,The board decided to table the proposal until the next quarter.,董事會決定將該提案擱置到下一季。,當動詞是「把議案擱在桌上」＝暫緩討論。,熟詞偏義
issue,發放、核發,v.,The bank will issue your replacement card within five business days.,銀行將在五個工作天內核發你的補發卡片。,常見意思是「議題」，動詞則是「發放、核發」。,熟詞偏義
figure,認為、判斷,v.,We figure the renovation will take about three weeks.,我們認為整修大約要花三週。,除了「數字、人物」，口語中常作「認為」。,熟詞偏義
run,經營、營運,v.,She has run the family restaurant for over twenty years.,她經營這家家族餐廳超過二十年。,不是「跑」，商務語境多為「經營」。,熟詞偏義
cover,代班、代理職務,v.,Could you cover my shift on Friday afternoon?,你可以幫我代週五下午的班嗎？,除了「覆蓋、涵蓋」，職場常指「代班」。,熟詞偏義
charge,負責、主管,n.,Ms. Lin is in charge of the overseas shipping department.,林女士負責海外運輸部門。,in charge of＝負責；charge 另有「收費、指控」之意。,熟詞偏義
party,當事人、一方,n.,Both parties signed the contract on Tuesday.,雙方當事人於週二簽署合約。,法律與合約文件中指「當事一方」，不是「派對」。,熟詞偏義
company,陪伴,n.,The manager kept the visiting client company during lunch.,經理在午餐時陪伴來訪的客戶。,除了「公司」，也可指「陪伴」。,熟詞偏義
capital,資金,n.,The startup raised enough capital to expand into Asia.,這家新創募得足夠資金以拓展到亞洲。,不只是「首都、大寫」，商務中多指「資金」。,熟詞偏義
plant,工廠,n.,The new assembly plant will open in March.,新的組裝工廠將於三月啟用。,除了「植物」，製造業語境指「廠房」。,熟詞偏義
board,董事會；登機,n.,The board approved the annual budget without objection.,董事會無異議通過年度預算。,board 可作董事會、木板，動詞則是「登上（交通工具）」。,熟詞偏義
appreciate,理解、體認,v.,We appreciate that the deadline is tight for your team.,我們理解這個期限對貴團隊來說很趕。,除了「感激、增值」，也有「明白、體認」之意。,熟詞偏義
observe,遵守,v.,All visitors must observe the safety regulations on site.,所有訪客都必須遵守現場的安全規定。,除了「觀察」，正式文件中常是「遵守」。,熟詞偏義
retain,保留、留住,v.,The firm retains all records for at least seven years.,該公司所有紀錄至少保留七年。,,商務動詞
submit,提交、呈遞,v.,Please submit your expense report by the end of the month.,請在月底前提交你的報帳單。,,商務動詞
approve,核准、批准,v.,The supervisor approved the budget increase this morning.,主管今天早上核准了預算增加。,,商務動詞
postpone,延期,v.,The training session was postponed due to a scheduling conflict.,因為時間衝突，訓練課程被延期了。,,商務動詞
implement,實施、執行,v.,The company will implement the new policy next quarter.,公司將於下一季實施新政策。,,商務動詞
negotiate,協商、談判,v.,Our team negotiated a lower rate with the supplier.,我們團隊與供應商協商到更低的價格。,,商務動詞
distribute,分發、配銷,v.,The assistant distributed the handouts before the presentation.,助理在簡報前分發了講義。,,商務動詞
anticipate,預期、預料,v.,We anticipate a rise in demand during the holiday season.,我們預期假期期間需求會上升。,,商務動詞
authorize,授權、批准,v.,Only the director can authorize overtime payments.,只有總監可以授權加班費。,,商務動詞
comply,遵從、符合規定,v.,All departments must comply with the updated guidelines.,所有部門都必須遵守更新後的準則。,comply 後面接 with。,商務動詞
reimburse,報銷、償付,v.,The company will reimburse travel expenses within two weeks.,公司將在兩週內報銷差旅費用。,,商務動詞
allocate,分配、撥出,v.,Management allocated additional funds to the research team.,管理層撥出額外資金給研究團隊。,,商務動詞
streamline,精簡、使流程更有效率,v.,The new software streamlines the ordering process.,新軟體精簡了訂購流程。,,商務動詞
verify,查證、核實,v.,Please verify the shipping address before confirming the order.,確認訂單前請先核實寄送地址。,,商務動詞
outstanding,未付的、未解決的,adj.,The invoice has been outstanding for over a month.,這張發票已經超過一個月未付。,常見意思是「傑出的」，帳務語境是「未付清的」。,熟詞偏義
tentative,暫定的,adj.,We have a tentative agreement pending legal review.,我們有一份暫定協議，待法務審查。,,商務形容詞
mandatory,強制的、必須的,adj.,Attendance at the orientation is mandatory for new hires.,新進員工必須參加職前說明會。,,商務形容詞
